State,Year,Total Student Visas,Total Visas
Australian Capital Territory,2005,6050,143380
Australian Capital Territory,2006,6020,154550
Australian Capital Territory,2007,7360,166520
Australian Capital Territory,2008,8420,180410
Australian Capital Territory,2009,10350,188340
Australian Capital Territory,2010,11340,206340
Australian Capital Territory,2011,11060,207680
Australian Capital Territory,2012,12570,240710
Australian Capital Territory,2013,12700,236920
Australian Capital Territory,2014,13010,243100
Australian Capital Territory,2015,14530,254140
Australian Capital Territory,2016,15740,265590
Australian Capital Territory,2017,20480,300660
Australian Capital Territory,2018,24530,340900
Australian Capital Territory,2019,23560,341340
Australian Capital Territory,2020,6880,82040
Australian Capital Territory,2021,1140,14540
Australian Capital Territory,2022,10270,178300
Australian Capital Territory,2023,18850,309530
Australian Capital Territory,2024,15900,195450
New South Wales,2005,106320,4166910
New South Wales,2006,116460,4207150
New South Wales,2007,134010,4415700
New South Wales,2008,156400,4547440
New South Wales,2009,171620,4594710
New South Wales,2010,161710,4957010
New South Wales,2011,155310,5187790
New South Wales,2012,150810,5338740
New South Wales,2013,160440,5664710
New South Wales,2014,173890,5955910
New South Wales,2015,192590,6277280
New South Wales,2016,226420,6836150
New South Wales,2017,264330,7338750
New South Wales,2018,294640,7573530
New South Wales,2019,300520,7605660
New South Wales,2020,91830,1752140
New South Wales,2021,15410,360440
New South Wales,2022,161390,3501010
New South Wales,2023,270660,6478160
New South Wales,2024,202880,4241300
Northern Territory,2005,590,91600
Northern Territory,2006,660,98960
Northern Territory,2007,870,115320
Northern Territory,2008,1590,134790
Northern Territory,2009,1920,140620
Northern Territory,2010,1550,138240
Northern Territory,2011,2560,159240
Northern Territory,2012,2450,180390
Northern Territory,2013,3380,190180
Northern Territory,2014,3560,210580
Northern Territory,2015,3600,195050
Northern Territory,2016,3720,194940
Northern Territory,2017,3080,225500
Northern Territory,2018,2380,174870
Northern Territory,2019,2670,180610
Northern Territory,2020,1080,38580
Northern Territory,2021,200,7600
Northern Territory,2022,1850,69450
Northern Territory,2023,3600,120420
Northern Territory,2024,1780,80250
Queensland,2005,52050,2468340
Queensland,2006,55930,2515520
Queensland,2007,62440,2615990
Queensland,2008,74710,2679920
Queensland,2009,88520,2682410
Queensland,2010,81830,2828450
Queensland,2011,78830,2876470
Queensland,2012,78620,3053970
Queensland,2013,83290,3163390
Queensland,2014,87080,3226300
Queensland,2015,92530,3390310
Queensland,2016,98890,3648510
Queensland,2017,110180,3836060
Queensland,2018,123780,4113360
Queensland,2019,130290,4199590
Queensland,2020,41620,936220
Queensland,2021,1690,123260
Queensland,2022,64460,1763220
Queensland,2023,111340,3414620
Queensland,2024,79980,2317680
South Australia,2005,15040,370720
South Australia,2006,17220,396540
South Australia,2007,19660,427370
South Australia,2008,23980,449130
South Australia,2009,28560,470990
South Australia,2010,26150,506000
South Australia,2011,25360,531190
South Australia,2012,25100,576330
South Australia,2013,26200,623060
South Australia,2014,28940,682640
South Australia,2015,30350,672300
South Australia,2016,32400,708780
South Australia,2017,33960,750760
South Australia,2018,37230,793490
South Australia,2019,41190,832940
South Australia,2020,15440,188100
South Australia,2021,1320,21670
South Australia,2022,23510,367390
South Australia,2023,37070,723970
South Australia,2024,28380,461260
Tasmania,2005,2800,83870
Tasmania,2006,3120,88880
Tasmania,2007,3250,91300
Tasmania,2008,3910,104190
Tasmania,2009,4300,111900
Tasmania,2010,4200,112050
Tasmania,2011,3870,118100
Tasmania,2012,3830,125600
Tasmania,2013,3920,136010
Tasmania,2014,4390,140310
Tasmania,2015,4890,142590
Tasmania,2016,5050,158970
Tasmania,2017,6830,183110
Tasmania,2018,8310,208380
Tasmania,2019,9440,221830
Tasmania,2020,3370,51040
Tasmania,2021,260,8510
Tasmania,2022,3780,98220
Tasmania,2023,5590,184260
Tasmania,2024,3200,110990
Victoria,2005,84530,2221670
Victoria,2006,95750,2305680
Victoria,2007,112210,2467060
Victoria,2008,134190,2607850
Victoria,2009,154940,2763110
Victoria,2010,140600,3089630
Victoria,2011,138290,3372710
Victoria,2012,134690,3586270
Victoria,2013,137880,3791750
Victoria,2014,154920,4056220
Victoria,2015,173060,4430370
Victoria,2016,202540,4850900
Victoria,2017,233270,5175590
Victoria,2018,267430,5609080
Victoria,2019,285730,5872270
Victoria,2020,95550,1326320
Victoria,2021,12540,180620
Victoria,2022,131690,2727900
Victoria,2023,224440,4956700
Victoria,2024,183220,3279590
Western Australia,2005,29850,1119350
Western Australia,2006,30390,1143100
Western Australia,2007,34170,1314340
Western Australia,2008,40550,1410620
Western Australia,2009,47260,1542430
Western Australia,2010,46190,1734940
Western Australia,2011,44390,1871870
Western Australia,2012,43310,2018450
Western Australia,2013,43660,2140140
Western Australia,2014,46520,2257160
Western Australia,2015,47960,2217850
Western Australia,2016,52000,2325640
Western Australia,2017,50490,2316060
Western Australia,2018,50050,2323300
Western Australia,2019,49640,2362340
Western Australia,2020,18290,574130
Western Australia,2021,360,48280
Western Australia,2022,28900,1003290
Western Australia,2023,61710,2064060
Western Australia,2024,44210,1398970
